Company,Slug,Score,Source
snag,snag,,a16z-speedrun
Syzygy,syzygy,,a16z-speedrun
Allara,allara,,a16z-speedrun
Equip,equip,,a16z-speedrun
TSMG,tsmg,,a16z-speedrun
Phantom,phantom,,a16z-speedrun
Headspace Health,headspace-health,,a16z-speedrun
Curai Health,curai-health,,a16z-speedrun
Aiwyn,aiwyn,,a16z-speedrun
Loyal,loyal,,a16z-speedrun
Prefect,prefect,,a16z-speedrun
Ansible Health,ansible-health,,a16z-speedrun
Chamber Cardio,chamber-cardio,,a16z-speedrun
Improbable,improbable,,a16z-speedrun
Sekai,sekai,,a16z-speedrun
Allstate Insurance Company,allstate-insurance-company,,a16z-speedrun
Espresso Systems,espresso-systems,,a16z-speedrun
Keycard,keycard,,a16z-speedrun
Melotech,melotech,,a16z-speedrun
Nexus,nexus,,a16z-speedrun
Okendo,okendo,,a16z-speedrun
Quilter,quilter,,a16z-speedrun
Anara,anara,,a16z-speedrun
Catena Labs,catena-labs,,a16z-speedrun
Plume,plume,,a16z-speedrun
Post,post,,a16z-speedrun
Tourlane,tourlane,,a16z-speedrun
XBOW,xbow,,a16z-speedrun
Archive Resale,archive-resale,,a16z-speedrun
Clubhouse,clubhouse,,a16z-speedrun
Compound Eye,compound-eye,,a16z-speedrun
Gensyn,gensyn,,a16z-speedrun
GoodShip,goodship,,a16z-speedrun
Lingo.dev,lingo-dev,,a16z-speedrun
Magic Eden,magic-eden,,a16z-speedrun
Polygon Technology,polygon-technology,,a16z-speedrun
Rise8,rise8,,a16z-speedrun
True Link Financial,true-link-financial,,a16z-speedrun
Walrus Foundation,walrus-foundation,,a16z-speedrun
AccuWeather,accuweather,,a16z-speedrun
Astreya,astreya,,a16z-speedrun
Authzed,authzed,,a16z-speedrun
Cisive,cisive,,a16z-speedrun
CrossFit,crossfit,,a16z-speedrun
Depot,depot,,a16z-speedrun
EigenLayer,eigenlayer,,a16z-speedrun
Ensemble Health Partners,ensemble-health-partners,,a16z-speedrun
Filmhub,filmhub,,a16z-speedrun
LTSE,ltse,,a16z-speedrun
Netlify,netlify,,a16z-speedrun
Nomic,nomic,,a16z-speedrun
OpenSea,opensea,,a16z-speedrun
Quartzy,quartzy,,a16z-speedrun
Scalar,scalar,,a16z-speedrun
Sora Schools,sora-schools,,a16z-speedrun
sound.xyz,sound-xyz,,a16z-speedrun
Summer Health,summer-health,,a16z-speedrun
Sunflower,sunflower,,a16z-speedrun
Super,super,,a16z-speedrun
Tendo,tendo,,a16z-speedrun
Wheel,wheel,,a16z-speedrun
Ancestry,ancestry,,a16z-speedrun
Andesite,andesite,,a16z-speedrun
Clearly AI,clearly-ai,,a16z-speedrun
CoinTracker,cointracker,,a16z-speedrun
ConnectPrep,connectprep,,a16z-speedrun
Deeptune,deeptune,,a16z-speedrun
Espa AI,espa-ai,,a16z-speedrun
GenLogs,genlogs,,a16z-speedrun
Hipp Health,hipp-health,,a16z-speedrun
Hone Health,hone-health,,a16z-speedrun
Hubs.is,hubs-is,,a16z-speedrun
Impiricus,impiricus,,a16z-speedrun
Inngest,inngest,,a16z-speedrun
Kabam,kabam,,a16z-speedrun
Lua Global Inc,lua-global-inc,,a16z-speedrun
Matter Labs,matter-labs,,a16z-speedrun
Medium.com,medium-com,,a16z-speedrun
NEAR Protocol,near-protocol,,a16z-speedrun
ReadySet,readyset,,a16z-speedrun
Realm,realm,,a16z-speedrun
SFOX,sfox,,a16z-speedrun
Sui Foundation,sui-foundation,,a16z-speedrun
Technergetics,technergetics,,a16z-speedrun
The Believer Company,the-believer-company,,a16z-speedrun
Trigger.dev,trigger-dev,,a16z-speedrun
Weaviate,weaviate,,a16z-speedrun
XMTP Labs,xmtp-labs,,a16z-speedrun
thatgamecompany,thatgamecompany,,a16z-speedrun
Wattpad,wattpad,,a16z-speedrun
Onebrief,onebrief,,a16z-speedrun
Aghanim,aghanim,,a16z-speedrun
Vannevar Labs,vannevar-labs,,a16z-speedrun
Wealthfront,wealthfront,,a16z-speedrun
Cantina,cantina,,a16z-speedrun
Waymark,waymark,,a16z-speedrun
Ambience Healthcare,ambience-healthcare,,a16z-speedrun
House Rx,house-rx,,a16z-speedrun
Teamshares,teamshares,,a16z-speedrun
Counsel Health,counsel-health,,a16z-speedrun
Xsolla,xsolla,,a16z-speedrun
Sleeper,sleeper,,a16z-speedrun
Eloquent AI,eloquent-ai,,a16z-speedrun
Glydways,glydways,,a16z-speedrun
Karius,karius,,a16z-speedrun
knownwell,knownwell,,a16z-speedrun
Blue River Technology,blue-river-technology,,a16z-speedrun
Homebound,homebound,,a16z-speedrun
Intro,intro,,a16z-speedrun
k-ID,k-id,,a16z-speedrun
Descript,descript,,a16z-speedrun
Somethings,somethings,,a16z-speedrun
CertifyOS,certifyos,,a16z-speedrun
Neon,neon,,a16z-speedrun
Odyssey,odyssey,,a16z-speedrun
Zuma,zuma,,a16z-speedrun
Zus Health,zus-health,,a16z-speedrun
Ava Labs,ava-labs,,a16z-speedrun
Bold,bold,,a16z-speedrun
Leona Health,leona-health,,a16z-speedrun
Limbic,limbic,,a16z-speedrun
Lithic,lithic,,a16z-speedrun
Polymath,polymath,,a16z-speedrun
B12,b12,,a16z-speedrun
Crossing Minds,crossing-minds,,a16z-speedrun
Intangible,intangible,,a16z-speedrun
Ladder,ladder,,a16z-speedrun
Nango,nango,,a16z-speedrun
Treeline,treeline,,a16z-speedrun
Better Health Supplies,better-health-supplies,,a16z-speedrun
CloudTrucks,cloudtrucks,,a16z-speedrun
Dyno Therapeutics,dyno-therapeutics,,a16z-speedrun
Infragrid,infragrid,,a16z-speedrun
Liberty University,liberty-university,,a16z-speedrun
Management Leadership for Tomorrow,management-leadership-for-tomorrow,,a16z-speedrun
Medeloop,medeloop,,a16z-speedrun
Woolpert,woolpert,,a16z-speedrun
Lightspark,lightspark,,a16z-speedrun
Mux,mux,,a16z-speedrun
Nolla Health,nolla-health,,a16z-speedrun
PingWind,pingwind,,a16z-speedrun
Viome,viome,,a16z-speedrun
Nansen,nansen,,a16z-speedrun
CVS Health,cvs-health,,a16z-speedrun
Walmart,walmart,,a16z-speedrun
Helsing,helsing,,a16z-speedrun
Hitachi,hitachi,,a16z-speedrun
The Exploration Company,the-exploration-company,,a16z-speedrun
Neko Health,neko-health,,a16z-speedrun
Mach Industries,mach-industries,,a16z-speedrun
Varda Space Industries,varda-space-industries,,a16z-speedrun
Sprinter Health,sprinter-health,,a16z-speedrun
Blank Street,blank-street,,a16z-speedrun
NXP Semiconductors,nxp-semiconductors,,a16z-speedrun
Hermeus,hermeus,,a16z-speedrun
SpotOn,spoton,,a16z-speedrun
Rothy's,rothy-s,,a16z-speedrun
Cowboy Space Corporation,cowboy-space-corporation,,a16z-speedrun
Palantir,palantir,,a16z-speedrun
Wave Mobile Money,wave-mobile-money,,a16z-speedrun
Commonwealth Fusion Systems,commonwealth-fusion-systems,,a16z-speedrun
Tekion,tekion,,a16z-speedrun
BDO Canada,bdo-canada,,a16z-speedrun
Valeo,valeo,,a16z-speedrun
Royal Bank of Canada,royal-bank-of-canada,,a16z-speedrun
Mariana Minerals,mariana-minerals,,a16z-speedrun
Magna,magna,,a16z-speedrun
SpaceX,spacex,,a16z-speedrun
Reliable Robotics Corporation,reliable-robotics-corporation,,a16z-speedrun
Ro,ro,,a16z-speedrun
